Name,Comedy,Action,Fantasy,Adventure,Kids,Drama,Sci-Fi,Music,Shounen,Slice of Life,Romance,School,Supernatural,Hentai,Historical,Mecha,Magic,Seinen,Ecchi,Mystery,Sports,Shoujo,Parody,Super Power,Military,Dementia,Demons,Space,Horror,Martial Arts,Harem,Game,Psychological,Police,Samurai,Vampire,Cars,Thriller,Shounen Ai,Josei,Shoujo Ai,Unknown,Yaoi,Yuri,Genres
Suiren no Hito,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama
Tokimeki Memorial 4 OVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,Harem
Pokemon Movie 13: Genei no Hasha Zoroark,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Fantasy, Kids"
Sangokushi: Dai Ichi Bu - Eiyuu-tachi no Yoake,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Historical
Sangokushi: Dai Ni Bu - Choukou Moyu!,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Historical"
Sangokushi: Dai San Bu - Harukanaru Taichi,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Historical"
Starry☆Sky,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,"Harem, School, Shoujo"
Machi Gurumi no Wana: Hakudaku ni Mamireta Shitai,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
Peng You Town,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kids, Slice of Life"
Karigurashi no Arrietty,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fantasy
Kansen 2: Inzai Toshi,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
Nihon Mukashibanashi: Saru Kani,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fantasy
Auto Mommy,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fantasy
Denshinbashira Elemi no Koi,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fantasy
Ookiku Furikabutte: Natsu no Taikai-hen,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Seinen, Sports"
Yans! Gans! Meat or Die,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Comedy"
Hipira-kun,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,"Comedy, Fantasy, Kids, Supernatural, Vampire"
Shiki,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,"Horror, Mystery, Supernatural, Thriller, Vampire"
Hellsing: Psalm of the Darkness,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,"Action, Supernatural, Vampire, Seinen"
Hokkyoku no Muushika Miishika,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventure
Issho ni H Shiyo,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
11eyes: Momoiro Genmutan,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Ecchi, Comedy, Super Power, Supernatural"
Queen's Blade: Gyokuza wo Tsugu Mono Specials,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Ecchi, Fantasy"
Fight Ippatsu! Juuden-chan!! Specials,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Ecchi, Comedy"
Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Comedy, Shounen, Supernatural"
Sono Hanabira ni Kuchizuke wo: Anata to Koibito Tsunagi,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"Hentai, School, Yuri"
DigiGirl Pop!: Strawberry & Pop Mix Flavor,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Sci-Fi"
Midnight Horror School,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comedy
Bao Lian Deng,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Fantasy"
Saki Picture Drama,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Slice of Life"
Masuda Kousuke Gekijou Gag Manga Biyori +,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comedy
"Yondemasu yo, Azazel-san.",1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,"Comedy, Demons, Supernatural"
Tantei Opera Milky Holmes,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Mystery, Comedy, Super Power"
Ookami-san to Shichinin no Nakama-tachi,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,"Comedy, Parody, Romance"
Yutori-chan,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Slice of Life, Comedy"
Chiisana Jumbo,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fantasy, Music, Kids"
"Shin Koihime†Musou: Gunyuu, Minami no Shima de Bakansu wo Suru no Koto - Ato, Porori mo Aru yo!",1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Ecchi, Fantasy"
Futatsu no Kurumi,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama
Andersen Monogatari (TV),,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kids, Fantasy, Drama"
Gothicmade: Hana no Utame,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mecha, Romance, Sci-Fi"
Kämpfer Picture Drama,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comedy
Yojouhan Shinwa Taikei,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,"Mystery, Comedy, Psychological, Romance"
Arabian Nights: Sindbad no Bouken,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Fantasy"
K-On!!,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Music, School, Slice of Life"
Ring ni Kakero 1: Kage Dou-hen,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,"Action, Shounen, Sports"
Challenge Ichinensei de Kakkoii Ichinensei ni Henshin!,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kids
Baka to Test to Shoukanjuu: Mondai - Christmas ni Tsuite Kotae Nasai,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Romance"
Mahou Shoujo Lalabel: Umi ga Yobu Natsuyasumi,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,"Slice of Life, Magic, Comedy, Shoujo"
Zukkoke Knight: Don De La Mancha,1.0,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Comedy, Historical, Romance"
3-tsu no Kumo,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Dementia
Yami wo Mitsumeru Hane,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Dementia
Yoru no Okite,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Dementia
Dr. Slump Movie 06: Arale-chan N-cha! Penguin Mura wa Hare Nochi Hare,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Sci-Fi, Shounen"
B-gata H-kei,1.0,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Ecchi, Romance, School, Seinen"
Yousei Ou,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,"Fantasy, Shoujo"
Notari Matsutarou,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Sports
Kiekaketa Monogataritachi no Tame ni,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Dementia
The Place Where We Were,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Dementia
Seton Doubutsuki,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Fantasy"
Kage no Kodomo,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Dementia
Mini Sengoku Basara: Chousokabe-kun to Mouri-kun,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Historical"
Sora no Otoshimono: Project Pink,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,"Sci-Fi, Harem, Comedy, Supernatural, Ecchi, Shounen"
Versailles no Bara to Onna-tachi,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,"Historical, Drama, Shoujo"
Transformers: Robot Masters,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mecha
SF Lolita Fantasy Ome-1,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,"Hentai, Parody, Sci-Fi"
Gon,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Kids"
Baka to Test to Shoukanjuu Specials,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Magic, Comedy, School"
Kanokon: Manatsu no Dai Shanikusai Specials,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Ecchi
Oz no Mahoutsukai,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Kids, Fantasy"
"Momoko, Kaeru no Uta ga Kikoeru yo.",,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drama, School, Slice of Life"
Ramen Tenshi Pretty Menma,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,"Comedy, Magic, Parody"
Issho ni Sleeping: Sleeping with Hinako,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Ecchi
Super Child,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Sci-Fi, Adventure"
Fullmetal Alchemist: Brotherhood - 4-Koma Theater,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,"Parody, Fantasy, Comedy, Military"
Kemono no Souja Erin Recaps,,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Drama, Fantasy, Historical, Slice of Life"
Love² Police,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
Kyuukyoku no Chef wa Oishinbo Papa,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
Otaku no Seiza,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,"Comedy, Parody"
Animation!,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,"Adventure, Fantasy, Comedy, Dementia, Music, Mystery"
Defend Love,,,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Adventure, Fantasy, Magic, Mecha, Romance, Super Power, Supernatural, Music, Sci-Fi"
The Marshmallow Times,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slice of Life
Cybot Robocchi,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Sci-Fi"
Pachislo Kizoku Gin,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,"Action, Game"
Hiroshima ni Ichiban Densha ga Hashitta,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Historical, Drama"
Rin x Sen: Hakudaku Onna Kyoushi to Yaroudomo,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
"Chi's Sweet Home: Chi to Kocchi, Deau.",1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Slice of Life, Comedy, Kids"
Shin Obake no Q-tarou,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Slice of Life, Comedy, Supernatural, School"
Obake no Q-tarou (1985),1.0,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Kids, School, Slice of Life, Supernatural"
Tetsuro no Kanata,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventure
Taiyou no Hou: El Cantare e no Michi,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Historical, Fantasy"
Time Bokan Series: Gyakuten Ippatsuman,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Comedy, Mecha, Sci-Fi"
Soukou Kihei Votoms: Genei-hen,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"Action, Drama, Mecha, Military, Sci-Fi"
Tegamibachi Gakuen,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, School"
Toaru Kagaku no Railgun: Motto Marutto Railgun,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comedy
Chi-Sui Maru,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comedy
Super Street Fighter IV,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Shounen"
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,"Comedy, Josei, Music, Romance"
Oppai no Ouja 48,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
Sennin Buraku,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Ecchi"
Taishou Yakyuu Musume. Specials,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,"School, Sports"
Shin Koihime†Musou: Otome Tairan,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Comedy, Ecchi, Fantasy, Historical"
Mai-HiME: Kuro no Mai/Saigo no Bansan,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comedy
Sekaiichi Hatsukoi OVA,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,"Comedy, Drama, Romance, Shounen Ai"
Ashiaraiyashiki no Juunin-tachi.,,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Fantasy, Supernatural, Seinen"
Karakuri Kengou Den Musashi Lord,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Mecha"
Kuroshitsuji Picture Drama,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,"Demons, Supernatural"
Highschool of the Dead,,1.0,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Action, Horror, Supernatural, Ecchi, Shounen"
Kure-nai OVA,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Comedy"
Tamala 2010: A Punk Cat in Space OVA,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,"Dementia, Sci-Fi"
Je Bul Chal-ssi Iyagi,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Comedy, Horror, Fantasy"
Densetsu no Yuusha no Densetsu,,1.0,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Magic, Fantasy, Shounen"
Bakumatsu no Spasibo,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Historical
Lupin III: The Last Job,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Comedy, Seinen"
Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"Action, Drama, Mecha, Military, Sci-Fi"
Mardock Scramble: The First Compression,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,"Action, Sci-Fi, Psychological"
HenSemi,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Ecchi, Seinen"
Tottoko Hamtarou Movie 3: Ham Ham Grand Prix Aurora Tani no Kiseki - Ribon-chan Kiki Ippatsu!,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Comedy, Kids"
Tottoko Hamtarou Movie 4: Hamtaro to Fushigi no Oni no Emon Tou,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kids, Adventure, Comedy"
Fukubiki! Triangle: Miharu After,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
Last Waltz: Hakudaku Mamire no Natsu Gasshuku,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
Uchuu Show e Youkoso,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,"Adventure, Space, Fantasy"
Gotou ni Naritai.,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Slice of Life, School, Drama"
Cooking Papa,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Slice of Life"
Kuragehime,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,"Slice of Life, Comedy, Josei"
Mighty Orbots,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sci-Fi, Adventure, Comedy, Mecha"
Chou Deneiban SD Gundam Sangokuden Brave Battle Warriors,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Mecha, Historical"
Precure All Stars Movie DX2: Kibou no Hikari☆Rainbow Jewel wo Mamore!,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,"Action, Fantasy, Magic, Shoujo"
"Keroro Gunsou Movie 5: Tanjou! Kyuukyoku Keroro, Kiseki no Jikuu-jima, de Arimasu!!",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comedy
Shin Minashigo Hutch,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Comedy, Drama"
Konchuu Monogatari Minashigo Hutch (1989),1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Comedy, Drama"
Konchuu Monogatari Mitsubachi Hutch: Yuuki no Melody,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Comedy, Drama"
Colorful (Movie),,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drama, Slice of Life, Supernatural"
Sockies: Frontier Quest,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comedy
Gegege no Kitarou: Nippon Bakuretsu,,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Action, Fantasy, Horror, Kids, Shounen, Supernatural"
Gegege no Kitarou: Daikaijuu,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Action, Fantasy, Horror, Shounen, Supernatural"
Gegege no Kitarou (1968 Movie),1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Adventure, Comedy, Horror, Supernatural, Fantasy"
Gegege no Kitarou: Chisougan,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Adventure, Comedy, Fantasy, Horror, Supernatural"
Gegege no Kitarou (1985 Movie),1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Adventure, Comedy, Fantasy, Horror, Supernatural"
Gegege no Kitarou: Youkai Daisensou,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Adventure, Fantasy, Comedy, Supernatural, Horror"
Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Adventure, Comedy, Fantasy, Horror, Supernatural"
Gegege no Kitarou: Gekitotsu!! Ijigen Youkai no Daihanran,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Adventure, Comedy, Fantasy, Horror, Supernatural"
Gegege no Kitarou: Obake Nighter,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,"Sports, Demons, Supernatural"
Gegege no Kitarou: Youkai Tokkyuu! Maboroshi no Kisha,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Adventure, Comedy, Fantasy, Horror, Supernatural"
Gegege no Kitarou: Jigoku-hen,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Adventure, Fantasy, Comedy, Supernatural, Horror"
Mugen Shinshi: Bouken Katsugeki-hen,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Fantasy, Horror, Mystery"
One Piece Recap,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power"
Teinenpi Shoujo Heidi,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,"Comedy, Parody"
Fujoshi no Hinkaku,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slice of Life
Eagle Sam,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Sports"
Koisuru Tenshi Angelique: Chibi Character Adventure 2,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Comedy"
Adachi-ga Hara,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sci-Fi
Bouken Shounen Shadar,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Adventure, Horror"
Bouken Korobokkuru,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventure
Bouken Gabotenjima,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventure
Fumiko no Kokuhaku,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comedy
The World of Golden Eggs,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,"Comedy, Parody"
Nodame Cantabile: Finale OVA,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,"Comedy, Romance, Josei"
Hoshi Shinichi Short Short,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Sci-Fi"
Hoshi Shinichi Short Short Special,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Sci-Fi"
Akuma-kun,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Adventure, Fantasy, Horror, Magic, Supernatural"
Guru Guru Town Hanamaru-kun,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kids
